abandon/’bndn/ vt.丢弃;放弃，抛弃
link/lik/ vt.有环连接n.环
lion/‘lain/ n.狮子;勇猛的人
lip/lip/ n.嘴唇
liquid/‘likwid/ n.液体a.液体的
liquor/‘lik/ n.酒;溶液，液剂
list/list/ n.表，目录n.列举
listen/‘lisn/ vi.听，留神听;听从
liter/‘li:t/ n.公升
litre/‘li:t/ n.公升
literary/‘litrri/ a.文学(上)的
literature/‘litrit/ n.文学;文献
little/‘litl/ a.小的;少;幼小的
live/livlaiv/ vi.居住;活a.活的
lively/‘laivli/ a.活泼的;逼真的
liver/‘liv/ n.肝;肝脏
living/‘livi/ a.活的n.生活，生计
living-room/‘livi’ru:m/ n.起居室
load/lud/ vt.装;装满n.负载
loaf/luf/ n.一条面包，一个面包
loan/lun/ n.贷款;暂借vt.借出
local/‘lukl/ a.地方的;局部的
locate/lu’keit/ vt.探明，找出，查出
location/lu’kein/ n.位置，场所
lock/lk/ n.锁vt.锁上，锁住
lodge/ld/ vi.暂住，借宿，投宿
log/lg/ n.原木，木料
logic/‘ldik/ n.逻辑，推理;逻辑性
logical/‘ldikl/ a.逻辑的;符合逻辑的
lonely/‘lunli/ a.孤独的;荒凉的
long/l/ a.长的;远的ad.长久
long/l/ vi.渴望，极想念
look/luk/ vi.看，显得n.看
loop/lu:p/ n.圈，环，环孔
loose/lu:s/ a.松的;宽松的
loosen/‘lu:sn/ vt.解开;使松驰
lord/l:d/ n.贵族;上帝，基督
lorry/‘lri/ n.运货汽车，卡车
lose/lu:z/ vt.失去;迷失;输掉
loss/ls/ n.遗失;损失;失败
lot/lt/ n.许多，大量;签，阄
loud/laud/ a.响亮的;吵闹的
love/lΛv/ vt.爱，喜欢n.爱
lovely/‘lΛvli/ a.可爱的;令人愉快的
lover/lΛv/ n.爱好者;情人;情侣
low/lu/ a.低的，矮的;低下的
lower/‘lu/ a.较低的vt.放下
loyal/‘lil/ a.忠诚的，忠心的
loyalty/‘lilti/ n.忠诚，忠心
luck/lΛk/ n.运气;好运，幸运
lucky/‘lΛki/ a.幸运的;吉祥的
luggage/‘lΛgid/ n.行李;皮箱，皮包
lump/lΛmp/ n.团，块;肿块
lunch/lΛnt/ n.午餐，(美)便餐
lung/lΛ/ n.肺脏，肺
luxury/‘lΛkri/ n.奢侈，奢华;奢侈品
machine/m’i:n/ n.机器;机械
machinery/m’i:nri/ n.机器,机关,结构
mad/md/ a.发疯的;恼火的
magazine/mg’zi:n/ n.杂志，期刊
magic/‘mdik/ n.魔法，巫术;戏法
magnet/‘mgnit/ n.磁铁，磁石，磁体
magnetic/mg’netik/ a.磁的，有吸引力的
magnificent/mg’nifisnt/ n.壮丽的;华丽的
maid/meid/ n.女佣，女仆;少女
mail/meil/ n.邮件vt.邮寄
main/mein/ a.主要的，最重要的
mainland/‘meinlnd/ n.大陆
maintain/mein’tein/ vt.维持;赡养;维修
maintenance/‘meintinns/ n.维持，保持;维修
major/‘meid/ a.较大的n.专业
majority/m’doriti/ n.多数，大多数
make/meik/ vt.使;做，制造
male/meil/ a.男的，雄的n.男子
man/mn/ n.男人;人;人类
manage/‘mnid/ vt.管理;设法;对付
management/‘mnidmnt/ n.管理;经营，处理
manager/‘mnid/ n.经理，管理人
mankind/mn’kaind/ n.人类
manner/‘mn/ n.方式;态度;礼貌
manual/‘mnjul/ a.体力的n.手册
manufacture/mnju’fkt/ vt.制造n.制造;产品
manufacturer/mnju’fktr/ n.制造商;制造厂
many/‘meni/ a.许多的pron.许多人
map/mp/ n.地图;图;天体图
March/ma:t/ n.三月
march/ma:t/ vi.行军
margin/‘ma:din/ n.页边的空白;边缘
marine/m’ri:n/ a.海的;海上的
mark/ma:k/ n.斑点;记号vt.标明
market/‘ma:kit/ n.市场;集市;销路
marriage/‘mrid/ n.结婚，婚姻;婚礼
married/‘mrid/ a.已婚的;婚姻的
marry/‘mri/ vt.娶，嫁vi.结婚
marvelous/‘ma:vils/ a.奇迹般的;了不起的
Marxist/‘ma:ksist/ a.马克思主义的
mask/ma:sk/ n.面具;伪装vt.掩饰
mass/ms/ n.众多;团;群众
master/‘ma:st/ n.主人;能手;硕士
mat/mt/ n.席子;草席;垫子
match/mt/ n.比赛，竞赛;对手
match/mt/ n.(一根)火柴
mate/meit/ n.伙伴，同事;配偶
material/m’tiril/ n.材料;素材a.物质的
mathematical/mθi’mtikl/ a.数学的，数学上的
mathematics/mθi’mtiks/ n.数学
maths/mθs/ n.(英)数学
matter/‘mt/ n.事情;物质vi.要紧
mature/m’tju/ a.成熟的vt.使成熟
maximum/‘mksimm/ n.最大量a.最大的
May/mei/ n.五月
may/mei/ v.aux.可能;可以，祝
maybe/‘meibi:/ ad.大概，或许;也许
mayor/‘me/ n.市长
me/mi:,mi/ pron.(宾格)我
meal/mi:l/ n.膳食，一餐
mean/mi:n/ vt.作…解释;意指
mean/mi:n/ a.自私的;吝啬的
mean/mi:n/ a.平均的n.平均值
meaning/‘mi:ni/ n.意义，意思;意图
means/mi:nz/ n.方法，手段，工具
meantime/‘mi:n’taim/ n.其时，其间ad.当时
meanwhile/‘mi:n’wail/ ad.同时，当时
measure/‘me/ vt.量，测量n.分量
measurement/‘memnt/ n.衡量，测量;尺寸
meat/mi:t/ n.肉
mechanic/mi’knik/ n.技工，机械，机修工
mechanical/mi’knikl/ a.机械的;力学的
mechanics/mi’kniks/ n.力学;技术性细节
medical/‘medikl/ a.医学的;内科的
medicine/‘medisin/ n.内服药;医学
medium/‘mi:djm/ n.媒质;中间a.中等的
meet/mi:t/ vt.遇见vi.相遇
meeting/mi:ti/ n.聚集，会合，会见
melt/melt/ vi.融化vt.使融化
member/‘memb/ n.成员，会员
memorial/mi’m:ril/ a.纪念的;记忆的
memory/‘memri/ n.记忆;回忆;存储
mend/mend/ vt.修理，修补，缝补
mental/‘mentl/ a.智力的;精神的
mention/‘menn/ vt.&n.提及，说起
menu/‘menju:/ n.菜单;饭菜，菜肴
merchant/‘m:tnt/ n.商人;零售商
mercury/‘m:kjuri/ n.水银，汞
Mercury/‘m:kjuri/ n.水星
mercy/‘m:si/ n.仁慈，慈悲，恩惠
mere/mi/ a.仅仅的;纯粹的
merely/‘mili/ ad.仅仅，只不过
merit/‘merit/ n.长处，优点;功过
merry/‘meri/ a.欢乐的，愉快的
message/‘mesid/ n.信息，消息;启示
metal/‘metl/ n.金属，金属制品
meter/‘mi:t/ n.计量器，计，表
method/‘meθd/ n.方法，办法;教学法
metre/‘mi:t/ n.米，公尺
metric/‘metrik/ a.公制的，米制的
microphone/‘maikrfun/ n.话筒，麦克风
microscope/‘maikrskup/ n.显微镜
middle/‘midl/ n.中部a.中部的
midnight/‘midnait/ n.午夜，子夜，夜半
might/mait/ v.aux.可能，会，也许
might/mait/ n.力量，威力，能力
mild/maild/ a.和缓的;温柔的
mile/mail/ n.英里
military/‘militri/ a.军事的;军人的
milk/milk/ n.乳，牛奶vt.挤(奶)
mill/mil/ n.磨坊;制造厂
millimetre/‘milimi:t/ n.毫米
million/‘miljn/ num.百万n.许多
mind/maind/ n.头脑;理智;记忆
mine/main/ pron.我的
mine/main/ n.矿，矿山;地雷
mineral/‘minrl/ n.矿物a.矿物的
minimum/‘minimm/ n.最小量a.最小的
minister/‘minist/ n.部长，大臣;公使
ministry/‘ministri/ n.(政府的)部
minor/‘main/ a.较小的;较次要的
minority/mai’nriti/ n.少数;少数民族
minus/‘mains/ a.负的prep.减(去)
minute/‘minit,mai’nju:t/ n.分，分钟;一会儿
minute/‘minit,mai’nju:t/ a.微细的;详细的
miracle/‘mirkl/ n.奇迹，令人惊奇的人
mirror/‘mir/ n.镜子vt.反映，反射
miserable/‘mizrbl/ a.痛苦的，悲惨的
mislead/mis’li:d/ vt.使误入岐途
miss/mis/ n.小姐
miss/mis/ vt.未看到;惦念
missile/‘misail/ n.发射物;导弹
missing/‘misi/ a.缺掉的，失去的
mission/‘min/ n.使命，任务;使团
mist/mist/ n.薄雾
mistake/mis’teik/ n.错误vi.误解，弄错
misunderstand/misΛnd’stnd/ vt.误解，误会，曲解
mix/miks/ vt.使混合，混淆
mixture/‘mikst/ n.混合;混合物
mobile/‘mubail/ a.运动的;流动的
mode/mud/ n.方式，样式
model/‘mdl/ n.模型;模式;模特儿
moderate/‘mdrit/ a.温和的;有节制的
modern/‘mdn/ a.现代的，近代的
modest/‘mdist/ a.有节制的;谦虚的
modify/‘mdifai/ vt.更改，修改;修饰
mist/mist/ a.湿润的;多雨的
misture/‘mist/ n.潮湿，湿气;温度
molecule/‘mlikju:l/ n.分子，克分子
moment/‘mumnt/ n.片刻，瞬间，时刻
Monday/‘mΛndi/ n.星期一
money/‘mΛni/ n.货币;金钱，财富
monitor/‘mnit/ n.班长;监视器
monkey/‘mΛki/ n.猴子，猿
month/mΛnθ/ n.月，月份
monthly/‘mΛnθli/ a.每月的ad.每月
monument/‘mnjumnt/ n.纪念碑;纪念馆
mood/mu:d/ n.心情，情绪;语气
moon/mu:n/ n.月球，月亮;卫星
moral/‘mrl/ a.道德的;合乎道德的
more/m:/ a.更多的ad.更
moreover/m:’ruv/ ad.再者，加之，此外
morning/‘m:ni/ n.早晨，上午
mosquito/ms’ki:tu/ n.蚊子
most/must/ a.最多的ad.最，很
mostly/‘mustli/ ad.主要的，大部分
mother/‘mΛ/ n.母亲，妈妈
motion/‘mun/ n.运动;手势;提议
motivate/‘mutiveit/ vt.促动;激励，激发
motive/‘mutiv/ n.动机，目的
motor/‘mut/ n.发动机;机动车
mould/muld/ n.模子，模型vt.浇铸
mount/maunt/ vt.登上，爬上n.…山
mountain/‘mauntin/ n.山，山岳;山脉
mouse/maus/ n.鼠，耗子
mouth/mauθ/ n.嘴，口，口腔
move/mu:v/ vt.移动;感动n.动
movement/‘mu:vmnt/ n.动作，活动;移动
movie/‘mu:vi/ n.电影;电影院
much/mΛt/ ad.非常，很a.许多的
mud/mΛd/ n.软泥，泥浆
multiple/‘mΛltipl/ a.复合的;并联的
multiply/‘mΛltiplai/ vt.使增加;乘
murder/‘m:d/ n.&vi.谋杀，凶杀
muscle/‘mΛsl/ n.肌肉，肌;体力
museum/mju:’zim/ n.博物馆;展览馆
music/‘mju:zik/ n.音乐，乐曲，乐谱
musical/‘mju:zikl/ a.音乐的;和谐的
musician/mju:’zin/ n.音乐家;作曲家
must/mΛst/ v.aux.必须;必然要
mutual/‘mju:tjul/ a.相互的;共同的
my/mai/ pron.我的
myself/mai’self/ pron.我自己;我亲自
mysterious/mis’tiris/ a.神秘的;难以理解的
mystery/‘mistri/ n.神秘;神秘的事物
nail/neil/ n.钉;指甲vt.钉
naked/‘neikid/ a.裸体的;无遮敝的
name/‘neim/ n.名字;名誉vt.说出
namely/‘neimli/ ad.即，也就是
narrow/‘nru/ a.狭的，狭窄的
nation/‘nein/ n.民族;国家
national/‘nnl/ a.民族的;国家的
nationality/n’nliti/ n.国籍;民族，族
native/‘neitiv/ a.本土的n.本地人
natural/‘ntrl/ a.自然界的;天然的
naturally/‘ntrli/ ad.自然地;天然地
nature/‘neit/ n.大自然;本性;性质
naval/‘neivl/ n.海军的，军舰的
navigation/nvi’gein/ n.航行;航海术;导航
navy/‘neivi/ n.海军
near/ni/ ad.近，接近a.近的
nearby/‘nibai/ a.附近的ad.在附近
nearly/‘nili/ ad.差不多;密切地
neat/ni:t/ a.整洁的;熟练的
necessarily/‘nesisrili/ ad.必然，必定
necessary/‘nesisri/ a.必要的;必然的
necessity/ni’sesiti/ n.必要性;必然性
neck/nek/ n.颈，脖子
need/ni:d/ vt.需要v.aux.需要
needle/‘ni:dl/ n.针，缝补，编织针
negative/‘negtiv/ a.否定的;消极的
neglect/ni’glekt/ vt.忽视，忽略;疏忽
egro/‘ni:gru/ n.黑人
neighbour/‘neib/ n.邻居，邻国，邻人
neighbourhood/‘neibhud/ n.邻居关系;邻近
neither/‘nai,‘ni:/ a.(两者)都不的
nephew/‘nevju:/ n.侄子，外甥
nerve/n:v/ n.神经;勇敢，胆量
nervous/‘n:vs/ a.神经的;易激动的
nest/nest/ n.巢，窝，穴
net/net/ n.网，网状物;通信网
network/‘netw:k/ n.网状物;网络
neutral/‘nju:trl/ a.中立的;中性的
never/‘nev/ ad.永不，决不;不
nevertheless/nevles/ conj.然而ad.仍然
new/nju:/ a.新的;新近出现的
news/nju:z/ n.新闻，消息
newspaper/‘nju:zpeip/ n.报纸，报
next/nekst/ a.紧接的;贴近的
nice/‘nais/ a.美好的，令人愉快的
niece/ni:s/ n.侄女，外甥女
night/nait/ n.夜，夜间
nine/nain/ num.九，九个
nineteen/‘nain’ti:n/ num.十九，十九个
ninety/‘nainti/ num.九十，九十个
ninth/nainθ/ num.第九;九分之一
nitrogen/‘naitridn/ n.氮
no/nu/ ad.不;并不a.没有
noble/‘nubl/ a.贵族的;高尚的
nobody/‘nubdi/ pron.谁也不;无人
nod/nd/ vt.点(头);点头表示
nise/niz/ n.喧闹声;响声;噪声
nisy/‘nizi/ a.嘈杂的;喧闹的
none/nΛn/ pron.没有人ad.毫不
nonsense/‘nnsns/ n.胡说，废话
noon/nu:n/ n.正午，中午
nor/n:/ conj.也不;不
normal/‘n:mli/ a.正常的，普通的
normally/‘n:mli/ ad.通常，正常地
north/n:θ/ n.北，北方a.北方的
northeast/‘n:θ’i:st/ n.东北a.位于东北的
northern/‘n:n/ a.北方的，北部的
northwest/‘n:θ’west/ n.西北a.位于西北的
nose/nuz/ n.鼻子;突出部分
not/nt/ ad.不，没有
note/nut/ n.笔记;便条;注释
notebook/‘nutbuk/ n.笔记本，期票簿
nothing/‘nΛθi/ n.没有东西ad.毫不
notice/‘nutis/ vt.注意n.通知;注意
noticeable/‘nutisbl/ a.显而易见的;重要的
noun/naun/ n.名词
novel/‘nvl/ n.小说a.新的
ovember/nu’vemb/ n.十一月
now/nau/ ad.现在;立刻;于是
nowadays/‘naudeiz/ ad.现今，现在
nowhere/‘nuhwe/ ad.任何地方都不
nuclear/‘nju:kli/ a.原子核的;核心的
nucleus/‘nju:klis/ n.核，核心;(原子)核
nuisance/‘nju:sns/ n.讨厌的东西
number/‘nΛmb/ n.数，数字;号码
numerous/‘nju:mrs/ a.为数众多的;许多
nurse/n:s/ n.保姆;护士vt.看护
nursery/‘n:sri/ n.托儿所;苗圃
nut/nΛt/ n.坚果，干果;螺母
nylon/‘nailn/ n.尼龙，耐纶
obey/’bei/ vt.顺从vi.服从
object/‘obdiktb’dekt/ n.物，物体;目的
object/‘obdiktb’dekt/ vi.反对;抱反感
objection/b’dekn/ n.反对，异议;不喜欢
objective/ob’dektiv/ a.客观的;无偏见的
oblige/’blaid/ vt.迫使;施恩惠于
observation/obz:’vein/ n.注意;观察;观察力
observe/b’z:v/ vt.遵守;看到;说
observer/b’z:v/ n.观察员，观测者
obstacle/‘obstkl/ n.障碍，障碍物，妨害
obtain/b’tein/ vt.获得，得到，买到
obvious/‘obvis/ a.明显的，显而易见的
occasion/’kein/ n.场合，时刻;时机
occasional/’keinl/ a.偶然的;临时的
occupation/kju’peinl/ n.占领，占据;职业
occupy/‘kjupai/ vt.占领;占，占有
occur/’k:/ vi.发生;出现，存在
occurrence/’kΛrns/ n.发生，出现;事件
ocean/‘un/ n.海洋;洋
oclock/’klk/ ad.…点钟
October/k’tub/ n.十月
odd/od/ a.奇数的;单只的
of/v,v/ prep.…的;由于
off/:f/ ad.(离)开;(停)止
offend/’fend/ vt.冒犯vi.犯过错
offer/‘f/ vt.提供;提出n.提供
office/‘fis/ n.办公室;处，局，社
officer/‘fis/ n.官员;干事;军官
official/’fil/ a.官员的;官方的
often/‘:fn/ ad.经常，常常
oh/u/ int.嗬，哦，唉呀
il/il/ n.油;石油vt.加油于
okay/‘u’kei/(缩作OK) a.&ad.对，好
old/uld/ a.老的;…岁的
omit/u’mit/ vt.省略，省去;遗漏
on/on/ prep.在…上;在…旁
once/wΛns/ ad.一次;曾经n.一次
one/wΛn/ num.一pron.一个人
oneself/wΛn’self/ pron.自己;亲自
onion/‘Λnjn/ n.洋葱，洋葱头
only/‘unli/ ad.只，仅仅a.唯一的
onto/‘ontu/ prep.到…上
open/‘upn/ a.开的;开放的vt.开
opening/‘upni/ a.开始的n.开始
opera/‘pr/ n.歌剧
operate/‘preit/ vi.操作;施行手术
operation/p’rein/ n.操作;手术;运算
operational/p’reinl/ a.操作上的;可使用的
operator/‘preit/ n.操作人员，接线员
opinion/’pinjn/ n.意见，看法，主张
opponent/’punnt/ n.对手，敌手;对抗者
opportunity/p’tju:niti/ n.机会，良机
oppose/’puz/ vt.反对;反抗
opposite/‘pzit/ a.对面的n.对立物
optical/‘ptikl/ a.眼的;光学的
optimistic/ptimistik/ a.乐观的;乐观主义的
optional/‘pnl/ a.可以任意选择的
or/:,/ conj.或，或者;即
oral/‘:rl/ a.口头的;口的
orange/‘orind/ n.橙(树);柑(树)
orbit/‘:bit/ n.运行轨道vt.环绕
orchestra/‘:kistr/ n.管弦乐队
order/‘:d/ n.次序;整齐vt.命令
orderly/‘:dli/ a.整洁的;有秩序的
ordinary/‘:dinri/ a.平常的;平凡的
ore/:/ n.矿，矿石，矿砂
organ/‘:gn/ n.器官;机构;管风琴
organic/:’gnik/ a.有机体的;器官的
organism/‘:gnizm/ n.生物体;有机体
organization/:gnai’zein/ n.组织;团体，机构
organize/‘:gnaiz/ vt.组织，编组
origin/‘oridin/ n.起源，由来;出身
original/’ridnl/ a.最初的;新颖的
other/‘Λ/ a.另外的;其余的
otherwise/‘Λwaiz/ ad.另外;要不然
ought/:t/ v.aux.应当，应该
ounce/auns/ n.盎司，英两
our/‘au/ pron.我们的
ours/‘auz/ pron.我们的
ourselves/au’selvz/ pron.我们自己
out/aut/ ad.出，在外;现出来
outcome/‘autkm/ n.结果，后果，成果
outdoors/‘aut’d:z/ ad.在户外，在野外
outer/‘aut/ a.外部的，外面的
outlet/‘aut-let/ n.出口，出路;排遣
outline/‘aut-lain/ n.轮廓;略图;大纲
outlook/‘aut-luk/ n.观点，看法;展望
output/‘autput/ n.产量;输出量;输出
outset/‘aut-set/ n.开始，开端
outside/‘aut’said/ n.外部;外表a.外部的
outstanding/aut’stndi/ a.突出的，杰出的
outward/‘autwd/ a.外面的;向外的
oven/‘Λvn/ n.炉，灶;烘箱
over/‘uv/ prep.在…上方;超过
overall/‘uvr:l/ n.工装裤a.全面的
overcoat/‘uvkut/ n.外衣，大衣
overcome/uv’kΛm/ vt.战胜，克服
overhead/‘uv’hed,‘uvhed/ a.在头顶上的;架空的
overlook/uv’luk/ vt.眺望;看漏;放任
overnight/‘uvnait/ ad.一夜;突然
overseas/‘uve’si:z/ ad.海外a.在海外的
overtake/uv’teik/ vt.追上，赶上;压倒
owe/u/ vt.欠;应把…归功于
owl/aul/ n.猫头鹰，枭
own/un/ a.自己的vt.有，拥有
owner/‘un/ n.物主，所有人
ownership/‘unip/ n.所有(权)，所有制
ox/ks/ n.牛;公牛，阉牛
oxygen/‘ksidn/ n.氧气
pace/peis/ n.步，步速vi.踱步
pacific/p’sifik/ a.和平的n.太平洋
pack/pk/ vt.捆扎;挤满n.包
package/‘pkid/ n.包裹，包，捆
packet/‘pkit/ n.小包(裹)，小捆
pad/pd/ n.垫;本子vt.填塞
page/peid/ n.页
pain/pein/ n.痛，疼痛;辛苦
painful/‘peinful/ a.使痛的;费力的
paint/peint/ vt.画;油漆vi.绘画
painter/‘peint/ n.漆工，画家，绘画者
painting/‘peinti/ n.油画;绘画;着色
pair/pe/ n.一对vi.成对，配对
palace/‘plis/ n.宫，宫殿
pale/peil/ a.苍白的;浅的
palm/pa:m/ n.手掌，手心;掌状物
pan/pn/ n.平底锅，盘子
panel/‘pnl/ n.专门小组;面，板
paper/‘peip/ n.纸;官方文件;文章
parade/p’reid/ n.游行;检阅vi.游行
paragraph/‘prgra:f/ n.(文章的)段，节
parallel/‘prlel/ a.平行的;相同的
parcel/‘pa:sl/ n.包裹，小包，邮包
pardon/‘pa:dn/ n.原谅;赦免vt.原谅
parent/‘pernt/ n.父亲，母亲，双亲
park/pa:k/ n.公园;停车场
parliament/‘pa:lmnt/ n.议会，国会
part/pa:t/ n.一部分;零件;本份
partial/‘pa:l/ a.部分的;不公平的
participate/pa:’tisipeit/ vi.参与，参加;分享
particle/‘pa:tikl/ n.粒子，微粒
particular/p’tikjul/ a.特殊的;特定的
particularly/p’tikjulli/ ad.特别，尤其，格外
partly/‘pa:tli/ ad.部分地，不完全地
partner/‘pa:tn/ n.伙伴;搭挡;配偶
party/‘pa:ti/ n.党，党派;聚会
pass/pa:s/ vt.经过;通过;度过
passage/‘psid/ n.通过;通路，通道
passenger/‘psind/ n.乘客，旅客，过路人
passion/‘pn/ n.激情，热情;爱好
passive/‘psiv/ a.被动的;消极的
passport/‘pa:sp:t/ n.护照
past/past/ a.过去的n.过去
paste/peist/ n.糊，酱;浆湖
pat/pt/ n.&vt.&n.轻拍
patch/pt/ n.补钉;碎片vt.补缀
path/pa:θ/ n.路，小道;道路
patience/‘peins/ n.忍耐，容忍，耐心
patient/‘peint/ a.忍耐的n.病人
pattern/‘ptn/ n.型，式样，模，模型
pause/p:z/ n.&vi.中止，暂停
paw/p:/ n.脚爪，爪子
pay/pei/ vt.支付;付给;给予
payment/‘peimnt/ n.支付，支付的款项
pea/pi:/ n.豌豆;豌豆属植物
peace/pi:s/ n.和平;和睦;平静
peaceful/‘pi:sful/ a.和平的;安静的
peach/pi:t/ n.桃子，桃树
peak/pi:k/ n.山顶，巅a.最高的
pear/pe/ n.梨子，梨树
peasant/‘peznt/ n.农民
peculiar/pi’kju:lj/ a.特有的;特别的
pen/pen/ n.钢笔，自来水笔
pencil/‘pensl/ n.铅笔
penetrate/‘penitreit/ vt.穿过vi.穿入
penny/‘peni/ n.(英)便士;(美)分
people/‘pi:pl/ n.人民，民族;人
per/p:/ prep.每
perceive/p’si:v/ vt.察觉，发觉;理解
percent/p’sent/ n.百分之…
percentage/p’sentid/ n.百分比，百分率
perfect/‘p:fikt,‘p:fekt/ a.完美的;完全的
perform/p’f:m/ vt.履行，执行;演出
performance/p’f:mns/ n.履行;演出;行为
perhaps/p’hps/ ad.也许，可能，多半
period/‘pirid/ n.时期;学时;句号
permanent/‘p:mnnt/ a.永久的，持久的
permission/p(:)’min/ n.允许，许可，同意
permit/p:’mit,‘p:mit/ vt.允许n.执照
persist/p:’sist/ vi.坚持，固执;持续
person/‘p:sn/ n.人;人身;本人
personal/‘p:snl/ a.个人的;本人的
personnel/p:s’nel/ n.全体人员，全体职员
perspective/p:’spektiv/ n.透视;远景;观点
persuade/p:’sweid/ vt.说服vi.被说服
pessimistic/pesi’mistik/ a.悲观的;厌世的
pet/pet/ n.爱畜;宠儿a.宠爱的
petrol/‘petrl/ n.(英)汽油
petroleum/pi’truljm/ n.石油
phase/feiz/ n.阶段;方面;相位
phenomenon/fi’nminn/ n.现象
philosopher/fi’lsf/ n.哲学家
philosophy/fi’lsfi/ n.哲学;哲理;人生观
phone/fun/ n.电话，电话机;耳机
photo/‘futu/ n.照片，相片
photograph/‘futgra:f/ n.照片，相片
phrase/freiz/ n.短语;习惯用语
physical/‘fizikl/ a.物质的;物理的
physician/fi’zin/ n.医生，内科医生
physicist/‘fizisist/ n.物理学家
physics/‘fiziks/ n.物理学
piano/pi’nu/ n.钢琴
pick/pik/ n.镐，鹤嘴锄
pick/pik/ vt.拾，摘vi.采摘
picnic/‘piknik/ n.郊游，野餐vi.野餐
picture/‘pikt/ n.画，图片vt.画
pie/pai/ n.(西点)馅饼
piece/pi:s/ n.碎片，块vt.拼合
pierce/pis/ vt.剌穿vi.穿入
pig/pig/ n.猪，小猪，野猪
pigeon/pidin/ n.鸽子
pile/pail/ n.堆vt.堆叠，累积
pill/pil/ n.药丸，丸剂
pillar/‘pil/ n.柱，柱子;栋梁
pillow/‘pilu/ n.枕头
pilot/‘pailt/ n.领航员;飞行员
pin/pin/ n.针，饰针n.别住
pinch/pint/ vt.捏，拧，掐掉
pine/pain/ n.松树，松木
pink/pik/ n.粉红色a.粉红色的
pint/paint/ n.品脱
pioneer/pai’ni/ n.拓荒者;先驱者
pipe/paip/ n.管子，导管;烟斗
pit/pit/ n.坑，地坑;煤矿
pitch/pit/ n.沥青
pitch/pit/ vt.投，掷vi.投掷
pity/‘piti/ n.怜悯;遗憾vt.同情
place/pleis/ n.地方，地点;住所
plain/plein/ n.平原a.清楚的
plan/pln/ n.&vt.计划，打算
plane/plein/ n.平面;飞机
planet/‘plnit/ n.行星
plant/pla:nt/ n.植物;工厂vt.栽种
plantation/pln’tein/ n.种植园;栽植
plastic/‘plstik/ a.可塑的n.塑料
plate/pleit/ n.板，片，盘vt.电镀
platform/‘pltf:m/ n.平台;站台;讲台
play/plei/ vi.玩，游戏;演奏
player/‘plei/ n.游戏的人;比赛者
playground/‘pleigraund/ n.操场，运动场
pleasant/‘pleznt/ a.令人愉快的，舒适的
please/pli:z/ vt.使高兴，请vi.满意
pleasure/‘ple/ n.愉快，快乐;乐事
plentiful/‘plentiful/ a.丰富的，富裕的
plenty/‘plenti/ n.丰富，充足，大量
plot/plt/ n.小块土地vt.密谋
plough/plau/ n.犁vt.&vi.犁，耕
plug/plΛg/ n.塞子;插头vt.塞
plunge/plΛnd/ vt.使投入;使陷入
plural/‘plurl/ a.复数的n.复数
plus/plΛs/ prep.加，加上a.正的
pocket/‘pkit/ n.衣袋n.袖珍的
poem/‘puim/ n.诗，韵文，诗体文
poet/puit/ n.诗人
poetry/‘puitri/ n.诗，诗歌，诗作
pint/pint/ n.点;要点;细目;分
pison/‘pizn/ n.毒，毒药vt.毒害
pisonous/‘pizns/ a.有毒的，有害的
pole/pul/ n.杆，柱
pole/pul/ n.极(点)，磁极，电极
police/p’li:s/ n.警察;警察当局
policeman/p’li:smn/ n.警察
policy/‘plisi/ n.政策，方针
polish/‘pli/ vt.磨光;使优美
polite/p’lait/ a.有礼貌的;有教养的
political/p’litikl/ a.政治的，政治上的
politician/pli’tin/ n.政治家;政客
politics/‘plitiks/ n.政治，政治学;政纲
pollute/p’lju:t/ vt.弄脏，污染，沾污
pollution/p’lu:n/ n.污染
pond/pnd/ n.池塘
pool/pu:l/ n.水塘，游泳池，水池
pool/pu:l/ n.共用物vt.共有
poor/pu/ a.贫穷的;贫乏的
pop/pp/ n.流行音乐，流行歌曲
pop/pp/ n.砰的一声，爆破声
popular/‘ppjul/ a.民众的;流行的
population/ppju’lein/ n.人口;全体居民
pork/p:k/ n.猪肉
port/p:t/ n.港，港口
portable/‘p:tbl/ a.轻便的;手提的
porter/‘p:t/ n.搬运工人
portion/‘p:n/ n.一部分;一分
portrait/‘p:trit/ n.消像，画像
position/p’zin/ n.位置;职位;姿势
positive/‘pztiv/ a.确定的;积极的
possess/‘p’zes/ vt.占用，拥有(财产)
possession/p’zen/ n.有，所有;占有物
possibility/ps’biliti/ n.可能;可能的事
possible/‘psbl/ a.可能的;可能存在的
possibly/‘psbli/ ad.可能地;也许
post/pust/ n.柱，桩，杆vt.贴出
post/pust/ n.邮政，邮寄;邮件
post/pust/ n.岗位，哨所;职位
postage/‘pustid/ n.邮费，邮资
postman/‘pustmn/ n.邮递员
postpone/pust’pun/ vt.延迟，推迟，延缓
pot/pt/ n.锅，壶，罐，盆
potato/pu’teitu/ n.马铃薯，土豆
potential/p’tenl/ a.潜在的n.潜力
pound/paund/ n.磅;英磅
pound/paund/ vt.捣碎;舂烂;猛击
pour/p:/ vt.灌，倒vi.倾泻
poverty/‘pvti/ n.贫穷，贫困
powder/‘paud/ n.粉末;药粉;火药
power/‘pau/ n.能力;力;权;幂
powerful/‘pauful/ a.强有力的;有权威的
practical/‘prktikl/ a.实践的;实用的
practically/‘prktikli/ ad.实际上;几乎
practice/‘prktis/ n.实践;练习;业务
